"file"	"ctime"	"sim:O->X|X->O"	"sim:OX|XO"	"fit:O->X|X->O"	"fit:OX|XO"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"	"q2.5%.O->X|X->O"	"q2.5%.OX|XO"	"q25%.O->X|X->O"	"q25%.OX|XO"	"q50%.O->X|X->O"	"q50%.OX|XO"	"q75%.O->X|X->O"	"q75%.OX|XO"	"q97.5%.O->X|X->O"	"q97.5%.OX|XO"
"beta-runs//beta_1.25/01975/ising-fit-6-2-2.json"	"2017-05-12_01-07-40"	0.5	1.25	0.50000069	1.25000215	2	6	2	"root"	-426948.99233215	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.25/01975/ising-fit-6-2-2-mcmc-28475.json"	"2017-05-12_01-07-39"	0.5	1.25	0.50165632	1.25904887	2	6	2	"root"	NA	NA	0.49877376	1.24202233	0.50038691	1.2493907	0.50128558	1.25340933	0.50218287	1.25757644	0.50384932	1.2649362
"beta-runs//beta_5.0/18675/ising-fit-6-2-2.json"	"2017-05-12_01-07-28"	0.5	5	0.50150276	3.12865578	2	6	2	"root"	-391189.59756344	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_5.0/18675/ising-fit-6-2-2-mcmc-8921.json"	"2017-05-12_01-07-26"	0.5	5	0.50285457	3.14821097	2	6	2	"root"	NA	NA	0.49901509	3.03619313	0.50069745	3.10522826	0.50160272	3.12751063	0.50250802	3.15126413	0.50415311	3.21585758
"beta-runs//beta_0.95/07804/ising-fit-6-2-2.json"	"2017-05-12_01-06-38"	0.5	0.95	0.50000017	0.94999724	2	6	2	"root"	-445274.05109472	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_0.95/07804/ising-fit-6-2-2-mcmc-18251.json"	"2017-05-12_01-06-36"	0.5	0.95	0.5014637	0.95022747	2	6	2	"root"	NA	NA	0.49767993	0.93845784	0.4993612	0.94444346	0.50029751	0.94762772	0.50116774	0.95065661	0.50292719	0.95665832
"beta-runs//beta_0.75/07820/ising-fit-6-2-2.json"	"2017-05-12_01-06-04"	0.5	0.75	0.50218301	0.75472536	2	6	2	"root"	-459954.12939154	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_0.75/07820/ising-fit-6-2-2-mcmc-30380.json"	"2017-05-12_01-06-03"	0.5	0.75	0.50142853	0.75372945	2	6	2	"root"	NA	NA	0.49956343	0.74720853	0.50121452	0.7519288	0.50212362	0.75472046	0.5030042	0.75750541	0.50477794	0.76241801
"beta-runs//beta_1.05/12035/ising-fit-6-2-2.json"	"2017-05-12_01-04-59"	0.5	1.05	0.49999996	1.05000419	2	6	2	"root"	-438531.7563575	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.05/12035/ising-fit-6-2-2-mcmc-19892.json"	"2017-05-12_01-04-58"	0.5	1.05	0.49995697	1.05844236	2	6	2	"root"	NA	NA	0.49735637	1.04500367	0.49905603	1.05146365	0.49994167	1.05485665	0.50085638	1.05815568	0.50249136	1.06451118
"beta-runs//beta_2.0/04034/ising-fit-6-2-2.json"	"2017-05-12_01-04-19"	0.5	2	0.49758166	1.9680909	2	6	2	"root"	-400412.28261024	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_2.0/04034/ising-fit-6-2-2-mcmc-28276.json"	"2017-05-12_01-04-17"	0.5	2	0.4957087	1.96850969	2	6	2	"root"	NA	NA	0.4951535	1.94315935	0.49677687	1.96028768	0.49764783	1.96910656	0.49849716	1.97834971	0.50012829	1.99524646
"beta-runs//beta_0.5/30057/ising-fit-6-2-2.json"	"2017-05-12_01-00-38"	0.5	0.5	0.50000035	0.49999979	2	6	2	"root"	-477272.79934778	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_0.5/30057/ising-fit-6-2-2-mcmc-16318.json"	"2017-05-12_01-00-37"	0.5	0.5	0.50147568	0.50349766	2	6	2	"root"	NA	NA	0.49823251	0.49367804	0.49982664	0.49763085	0.50073763	0.49987313	0.50157924	0.50218663	0.50317879	0.50670711
"beta-runs//beta_1.5/22826/ising-fit-6-2-2.json"	"2017-05-12_01-00-25"	0.5	1.5	0.50185494	1.48276239	2	6	2	"root"	-416086.23879864	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.5/22826/ising-fit-6-2-2-mcmc-16591.json"	"2017-05-12_01-00-24"	0.5	1.5	0.50116204	1.47647265	2	6	2	"root"	NA	NA	0.49934278	1.46751745	0.50103893	1.47765811	0.50189939	1.48284189	0.50274988	1.48799925	0.50450442	1.49784969
"beta-runs//beta_0.25/30804/ising-fit-6-2-2.json"	"2017-05-12_00-51-58"	0.5	0.25	0.49852772	0.25443262	2	6	2	"root"	-489922.0835939	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_0.25/30804/ising-fit-6-2-2-mcmc-23763.json"	"2017-05-12_00-51-56"	0.5	0.25	0.4980085	0.25608654	2	6	2	"root"	NA	NA	0.4958922	0.24849756	0.4976256	0.25217279	0.49856175	0.25428798	0.49947996	0.25655648	0.50108135	0.2606294
"beta-runs//beta_0.1/13916/ising-fit-6-2-2.json"	"2017-05-12_00-43-05"	0.5	0.1	0.49675091	0.09828077	2	6	2	"root"	-493622.56244352	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_0.1/13916/ising-fit-6-2-2-mcmc-26170.json"	"2017-05-12_00-43-03"	0.5	0.1	0.49655909	0.10101309	2	6	2	"root"	NA	NA	0.49395528	0.09258473	0.495796	0.09633641	0.49672975	0.09848885	0.4976033	0.10026187	0.49925831	0.10390106
"beta-runs//beta_1.0/17666/ising-fit-6-2-2.json"	"2017-05-11_21-20-12"	0.5	1	0.50114985	0.99505899	2	6	2	"root"	-442532.34996389	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/17666/ising-fit-6-2-2-mcmc-32079.json"	"2017-05-11_21-20-10"	0.5	1	0.50057022	0.99253543	2	6	2	"root"	NA	NA	0.49865344	0.98609487	0.50026179	0.99174676	0.50115343	0.99507498	0.50205206	0.99843598	0.50386316	1.00447554
"beta-runs//beta_1.0/24329/ising-fit-6-2-2.json"	"2017-05-11_21-19-24"	0.5	1	0.50000023	0.99999818	2	6	2	"root"	-441960.25589138	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/24329/ising-fit-6-2-2-mcmc-24606.json"	"2017-05-11_21-19-22"	0.5	1	0.4992329	1.00543997	2	6	2	"root"	NA	NA	0.49775445	0.98903477	0.49954172	0.9951033	0.50040278	0.99823224	0.50130863	1.00138487	0.50300827	1.00745672
"beta-runs//beta_1.0/11774/ising-fit-6-2-2.json"	"2017-05-11_21-18-41"	0.5	1	0.49999981	0.99999577	2	6	2	"root"	-442008.44732525	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/11774/ising-fit-6-2-2-mcmc-9109.json"	"2017-05-11_21-18-40"	0.5	1	0.50008128	0.99830978	2	6	2	"root"	NA	NA	0.49715701	0.98618403	0.49878923	0.99231821	0.49966942	0.99573816	0.50057681	0.99881489	0.50220631	1.00484469
"beta-runs//beta_1.0/10025/ising-fit-6-2-2.json"	"2017-05-11_21-16-19"	0.5	1	0.49999916	0.99999984	2	6	2	"root"	-441166.99208677	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/10025/ising-fit-6-2-2-mcmc-15847.json"	"2017-05-11_21-16-18"	0.5	1	0.49853115	1.00452852	2	6	2	"root"	NA	NA	0.49582162	0.99016417	0.4975668	0.99659942	0.49844533	0.99982091	0.49929797	1.0031178	0.50085654	1.00944171
"beta-runs//beta_1.0/27280/ising-fit-6-2-2.json"	"2017-05-11_21-15-55"	0.5	1	0.50000019	1.00000126	2	6	2	"root"	-441814.06799036	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/27280/ising-fit-6-2-2-mcmc-27054.json"	"2017-05-11_21-15-53"	0.5	1	0.50136174	1.00972915	2	6	2	"root"	NA	NA	0.4979226	0.9916967	0.49950243	0.9980405	0.50036307	1.00125098	0.50128193	1.0044192	0.50288086	1.01057585
"beta-runs//beta_1.0/25660/ising-fit-6-2-2.json"	"2017-05-11_21-14-56"	0.5	1	0.50000004	0.99999605	2	6	2	"root"	-441880.09138113	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/25660/ising-fit-6-2-2-mcmc-8048.json"	"2017-05-11_21-14-54"	0.5	1	0.49943107	0.99216575	2	6	2	"root"	NA	NA	0.49752778	0.9864604	0.49919161	0.99297531	0.50008882	0.99609171	0.50101683	0.99922694	0.50277704	1.00533727
"beta-runs//beta_1.0/06137/ising-fit-6-2-2.json"	"2017-05-11_21-14-35"	0.5	1	0.50000064	1.000001	2	6	2	"root"	-441981.74211186	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/06137/ising-fit-6-2-2-mcmc-11119.json"	"2017-05-11_21-14-34"	0.5	1	0.5008962	0.99374101	2	6	2	"root"	NA	NA	0.49864351	0.99182406	0.50034739	0.99786981	0.50126597	1.00109808	0.50214209	1.00451022	0.50376162	1.01040295
"beta-runs//beta_1.0/01849/ising-fit-6-2-2.json"	"2017-05-11_21-14-25"	0.5	1	0.50147125	1.00688537	2	6	2	"root"	-441802.6333981	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/01849/ising-fit-6-2-2-mcmc-18207.json"	"2017-05-11_21-14-23"	0.5	1	0.49871932	1.0156513	2	6	2	"root"	NA	NA	0.49897983	0.99697937	0.50062842	1.00357042	0.50150194	1.00686524	0.50235559	1.01038467	0.50400878	1.01644411
"beta-runs//beta_1.0/04125/ising-fit-6-2-2.json"	"2017-05-11_21-13-27"	0.5	1	0.49999996	1.00000167	2	6	2	"root"	-441532.82763031	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/04125/ising-fit-6-2-2-mcmc-16957.json"	"2017-05-11_21-13-26"	0.5	1	0.49862685	0.99947544	2	6	2	"root"	NA	NA	0.49735163	0.99230787	0.4990627	0.9984687	0.49995491	1.00175463	0.50087549	1.00488823	0.50254563	1.01121363
"beta-runs//beta_1.0/06294/ising-fit-6-2-2.json"	"2017-05-11_21-11-09"	0.5	1	0.50081394	1.00602717	2	6	2	"root"	-441712.45368602	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/06294/ising-fit-6-2-2-mcmc-13201.json"	"2017-05-11_21-11-08"	0.5	1	0.50161978	1.00127523	2	6	2	"root"	NA	NA	0.4982553	0.99659934	0.50000421	1.00264025	0.50087045	1.00595985	0.50174744	1.00910166	0.50336953	1.01558403
"beta-runs//beta_1.0/07509/ising-fit-6-2-2.json"	"2017-05-11_21-10-54"	0.5	1	0.49999979	1.00000274	2	6	2	"root"	-441265.93800868	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"beta-runs//beta_1.0/07509/ising-fit-6-2-2-mcmc-16584.json"	"2017-05-11_21-10-52"	0.5	1	0.49824967	1.00270576	2	6	2	"root"	NA	NA	0.49712114	0.99320173	0.49878719	0.99946802	0.49968771	1.00288163	0.50060626	1.00604902	0.50235117	1.01212033
